,序號,發言日期,發言時間,發言人,發言人職稱,發言人電話,主旨,符合條款,事實發生日,說明,公司代號
0,1,110/07/16,18:28:03,徐光宇,專案協理,(02)27478711-2790,公告本公司民國110年股東常會重要決議事項,第 18款,110/07/16,1.股東常會日期:110/07/16 2.重要決議事項一、盈餘分配或盈虧撥補:  通過本公司民國109年度盈餘分派議案：每股配發9元現金股利。 3.重要決議事項二、章程修訂:  通過本公司章程修訂案。 4.重要決議事項三、營業報告書及財務報表:  承認本公司民國109年度決算表冊。 5.重要決議事項四、董監事選舉:  改選本公司董事(含獨立董事)，新任名單如下：  董事：統一企業股份有限公司代表人：羅智先  董事：高權投資股份有限公司代表人：高秀玲  董事：統一企業股份有限公司代表人：陳瑞堂  董事：統一企業股份有限公司代表人：黃瑞典  董事：統一企業股份有限公司代表人：吳諒豐  董事：統一企業股份有限公司代表人：蘇崇銘  董事：統一企業股份有限公司代表人：黃釗凱  董事：統一企業股份有限公司代表人：吳昆林  董事：統一企業股份有限公司代表人：吳琮斌  董事：統一企業股份有限公司代表人：吳玟琪  獨立董事：許克偉  獨立董事：陳亮  獨立董事：洪永城 6.重要決議事項五、其他事項:  (1)通過本公司股東會議事規則修訂案。  (2)通過本公司董事選任程序訂定案。  (3)通過本公司董事競業禁止之限制解除案。 7.其他應敘明事項:無,2912
1,2,110/07/16,18:28:48,徐光宇,專案協理,(02)27478711-2790,公告本公司董事任期屆滿改選,第 6款,110/07/16,"1.發生變動日期:110/07/16 2.選任或變動人員別（請輸入法人董事、法人監察人、獨立董事、自然人董事   或自然人監察人）:法人董事、獨立董事 3.舊任者職稱、姓名及簡歷:  董事:統一企業股份有限公司代表人:羅智先;統一企業股份有限公司董事長  董事:高權投資股份有限公司代表人:高秀玲;高權股份有限公司董事長  董事:統一企業股份有限公司代表人:陳瑞堂;統一超商股份有限公司董事長特別助理  董事:統一企業股份有限公司代表人:黃瑞典;統一超商股份有限公司總經理  董事:統一企業股份有限公司代表人:吳諒豐;統一超商股份有限公司董事  董事:統一企業股份有限公司代表人:蘇崇銘;統一超商股份有限公司董事  董事:統一企業股份有限公司代表人:黃釗凱;統一企業股份有限公司總經理  董事:統一企業股份有限公司代表人:吳昆林;統一超商股份有限公司董事  董事:統一企業股份有限公司代表人:吳琮斌;統一超商股份有限公司董事  董事:統一企業股份有限公司代表人:吳玟琪;統一超商股份有限公司財務長  獨立董事:王文宇;國立臺灣大學法律學院專任教授  獨立董事:許培基;私立輔仁大學管理學院院長  獨立董事:洪永城;私立東吳大學商學院資管系教授 4.新任者職稱、姓名及簡歷:  董事:統一企業股份有限公司代表人:羅智先;統一企業股份有限公司董事長  董事:高權投資股份有限公司代表人:高秀玲;高權股份有限公司董事長  董事:統一企業股份有限公司代表人:陳瑞堂;統一超商股份有限公司董事長特別助理  董事:統一企業股份有限公司代表人:黃瑞典;統一超商股份有限公司總經理  董事:統一企業股份有限公司代表人:吳諒豐;統一超商股份有限公司董事  董事:統一企業股份有限公司代表人:蘇崇銘;統一超商股份有限公司董事  董事:統一企業股份有限公司代表人:黃釗凱;統一企業股份有限公司總經理  董事:統一企業股份有限公司代表人:吳昆林;統一超商股份有限公司董事  董事:統一企業股份有限公司代表人:吳琮斌;統一超商股份有限公司董事  董事:統一企業股份有限公司代表人:吳玟琪;統一超商股份有限公司財務長  獨立董事:許克偉;尼得科超眾科技股份有限公司獨立董事  獨立董事:陳亮;富鼎國際實業股份有限公司董事長  獨立董事:洪永城;私立東吳大學商學院資管系教授 5.異動情形（請輸入「辭職」、「解任」、「任期屆滿」、「逝世」或「新任」）:  任期屆滿 6.異動原因:任期屆滿 7.新任者選任時持股數:  董事:統一企業股份有限公司持有股數:471,996,430股  董事:高權投資股份有限公司持有股數:5,176,775股  獨立董事:許克偉持有股數:0股  獨立董事:陳亮持有股數:0股  獨立董事:洪永城持有股數:0股 8.原任期（例xx/xx/xx ~ xx/xx/xx）:107/06/12~110/06/11 9.新任生效日期:110/07/16~113/07/15 10.同任期董事變動比率:不適用(董事任期屆滿改選) 11.同任期獨立董事變動比率:不適用(董事任期屆滿改選) 12.同任期監察人變動比率:不適用(董事任期屆滿改選) 13.屬三分之一以上董事發生變動（請輸入是或否）:否 14.其他應敘明事項:無",2912
2,3,110/07/16,18:29:07,徐光宇,專案協理,(02)27478711-2790,公告本公司董事會推選羅智先先生續任董事長,第 6款,110/07/16,1.董事會決議日期或發生變動日期:110/07/16 2.人員別（請輸入董事長或總經理）:董事長 3.舊任者姓名及簡歷:羅智先；統一企業股份有限公司董事長 4.新任者姓名及簡歷:羅智先；統一企業股份有限公司董事長 5.異動情形（請輸入「辭職」、「解任」、「任期屆滿」、「職務調整」、「資遣」、 「退休」、「逝世」或「新任」）:任期屆滿 6.異動原因:任期屆滿改選 7.新任生效日期:110/07/16 8.其他應敘明事項:無,2912
3,4,110/07/16,18:29:24,徐光宇,專案協理,(02)27478711-2790,公告本公司民國110年股東常會決議 解除本屆董事競業禁止限制事宜,第 21款,110/07/16,"1.股東會決議日:110/07/16 2.許可從事競業行為之董事姓名及職稱:  羅智先董事、高秀玲董事、陳瑞堂董事、黃瑞典董事、吳諒豐董事、  蘇崇銘董事、黃釗凱董事、吳昆林董事、吳琮斌董事、吳玟琪董事、  許克偉獨立董事、陳亮獨立董事、洪永城獨立董事 3.許可從事競業行為之項目:擔任與本公司營業範圍相同類似之相關職務 4.許可從事競業行為之期間:任職本公司董事職務期間 5.決議情形（請依公司法第209條說明表決結果）:  贊成權數超過法定數額，本案照案通過。 6.所許可之競業行為如屬大陸地區事業之營業者，董事姓名及職稱 （非屬大陸地區事業之營業者，以下請輸〝不適用〞）:  羅智先董事、高秀玲董事、黃瑞典董事、吳諒豐董事、  蘇崇銘董事、吳昆林董事、吳琮斌董事、吳玟琪董事 7.所擔任該大陸地區事業之公司名稱及職務:  職稱：董事                          姓名：羅智先 擔任大陸地區事業名稱                 職務 張家港統清食品有限公司               董事長 統一企業(中國)投資有限公司           董事長 皇茗企業管理諮詢(上海)有限公司       董事 廣州統一企業有限公司                 董事 福州統一企業有限公司                 董事 新疆統一企業食品有限公司             董事 武漢統一企業食品有限公司             董事 昆山統一企業食品有限公司             董事 成都統一企業食品有限公司             董事 瀋陽統一企業有限公司                 董事 哈爾濱統一企業有限公司               董事 合肥統一企業有限公司                 董事 鄭州統一企業有限公司                 董事 北京統一飲品有限公司                 董事 統一企業(昆山)食品科技有限公司       董事 南昌統一企業有限公司                 董事 統一(上海)商貿有限公司               董事 昆明統一企業食品有限公司             董事 煙台統利飲料工業有限公司             董事 長沙統一企業有限公司                 董事 巴馬統一礦泉水有限公司               董事 南寧統一企業有限公司                 董事 湛江統一企業有限公司                 董事 重慶統一企業有限公司                 董事 泰州統一企業有限公司                 董事 阿克蘇統一企業有限公司               董事 長春統一企業有限公司                 董事 上海統一寶麗時代實業有限公司         董事 白銀統一企業有限公司                 董事 海南統一企業有限公司                 董事 貴陽統一企業有限公司                 董事 濟南統一企業有限公司                 董事 杭州統一企業有限公司                 董事 武穴統一企業礦泉水有限公司           董事 石家莊統一企業有限公司               董事 徐州統一企業有限公司                 董事 河南統一企業有限公司                 董事 統一商貿(昆山)有限公司               董事 陝西統一企業有限公司                 董事 江蘇統一企業有限公司                 董事 長白山統一企業(吉林)礦泉水有限公司   董事 寧夏統一企業有限公司                 董事 上海統一企業有限公司                 董事 內蒙古統一企業有限公司               董事 山西統一企業有限公司                 董事 呼圖壁統一企業番茄製品科技有限公司   董事 上海統一企業飲料食品有限公司         董事 天津統一企業有限公司                 董事 湖南統一企業有限公司                 董事 職稱：董事                           姓名：高秀玲 擔任大陸地區事業名稱                 職務 統一(上海)保健品商貿有限公司         董事 統一生活(浙江)商貿有限公司           董事 職稱：董事                           姓名：黃瑞典 擔任大陸地區事業名稱                 職務 統一生活(浙江)商貿有限公司           董事長 統一(上海)保健品商貿有限公司         董事長 統一超商(上海)便利有限公司           董事 山東統一銀座商業有限公司             董事 統一超商(浙江)便利店有限公司         董事 張家港統清食品有限公司               董事 上海松江統一企業有限公司             董事 職稱：董事                           姓名：吳諒豐 擔任大陸地區事業名稱                 職務 中山統一企業有限公司                 董事長 天津統一企業食品有限公司             董事長 青島統一飼料農牧有限公司             董事長 張家港統清食品有限公司               董事 張家港統清食品有限公司               總經理 職稱：董事                           姓名：蘇崇銘 擔任大陸地區事業名稱                 職務 統盛(蘇州)汽車租賃有限公司           董事 統一企業(中國)投資有限公司           監察人 職稱：董事                           姓名：吳昆林 擔任大陸地區事業名稱                 職務 張家港統清食品有限公司               董事 職稱：董事                           姓名：吳琮斌 擔任大陸地區事業名稱                 職務 昆山統萬微生物科技有限公司           監察人 統萬珍極食品有限公司                 監察人 職稱：董事                           姓名：吳玟琪 擔任大陸地區事業名稱                 職務 統一超商(上海)便利有限公司           監察人 統一超商(浙江)便利店有限公司         監察人 8.所擔任該大陸地區事業地址: 大陸地區事業名稱                     地址 上海松江統一企業有限公司             中國上海市松江區新橋鎮民益路22號 上海統一企業有限公司                 中國上海市閔行區蓮花南路2185號 上海統一企業飲料食品有限公司         中國上海市金山工業區月工路888號4幢22區 上海統一寶麗時代實業有限公司         中國上海市長寧區天山西路568號2幢6樓 山西統一企業有限公司                 中國山西省晉中市祁縣經濟開發區張北村 山東統一銀座商業有限公司             中國山東省濟南市歷下區華能路38號匯源                                      大廈35樓 中山統一企業有限公司                 中國廣東省中山市阜沙鎮阜南大道83號 內蒙古統一企業有限公司               中國蒙古自治區呼和浩特市和林縣盛樂經濟                                      園區管委會辦公大樓509室 天津統一企業有限公司                 中國天津空港經濟區保航路1號航空產業支持                                      中心645EE30房 天津統一企業食品有限公司             中國天津市經濟技術開發區明園路2號陽光                                      花園F座601室 巴馬統一礦泉水有限公司               中國廣西壯族自治區河池市巴馬縣巴馬鎮                                      賜福村 北京統一飲品有限公司                 中國北京市懷柔區大中富樂村工業小區C棟 白銀統一企業有限公司                 中國甘肅省白銀市白銀區中小企業創業基地 石家莊統一企業有限公司               中國河北省石家莊市高新技術產業開發區                                      興安大街153號 合肥統一企業有限公司                 中國安徽省合肥經濟技術開發區錦繡大道                                      182號 成都統一企業食品有限公司             中國四川省成都市溫江區成都海峽兩岸                                      科技產業開發園 江蘇統一企業有限公司                 中國江蘇省南京市高淳經濟開發區古檀大道                                      301號 呼圖壁統一企業番茄製品科技有限公司   中國新疆維吾爾自治區昌吉州呼圖壁縣東風路                                      40號招商局3樓 昆山統一企業食品有限公司             中國江蘇省昆山市經濟技術開發區青陽南路                                      301號 昆明統一企業食品有限公司             中國雲南省昆明市呈貢新城大衝工業片區                                      新加坡產業園區 杭州統一企業有限公司                 中國浙江省杭州市蕭山區前進街道三豐路                                      301號 武穴統一企業礦泉水有限公司           中國湖北省武穴市梅川鎮綠林村綠林彎 武漢統一企業食品有限公司             中國湖北省武漢市東西湖區吳家山街東                                      西湖大道6007號 河南統一企業有限公司                 中國河南省國家漯河經濟技術開發區                                      東方紅路西段 長白山統一企業(吉林)礦泉水有限公司   中國吉林省安圖縣二道白河鎮紅豐村 長沙統一企業有限公司                 中國長沙市開福區金霞經濟開發區中青路                                      1301號 長春統一企業有限公司                 中國吉林省長春市經濟技術開發區丙十二街                                      以東，乙二路以北 阿克蘇統一企業有限公司               中國新疆維吾爾自治區阿克蘇特色產業園區                                      富達路15號 青島統一飼料農牧有限公司             中國山東省青島平度市白沙河街道辦事處                                      崔冷路5號 南昌統一企業有限公司                 中國江西省南昌市青山湖區民強路99號 南寧統一企業有限公司                 中國廣西壯族自治區南寧市東盟經濟開發區                                      武華大道29號 哈爾濱統一企業有限公司               中國黑龍江省哈爾濱市經濟技術開發區綜合                                      工業區青島路 皇茗企業管理諮詢(上海)有限公司       中國上海市浦東新區唐陸公路2310號2幢                                      106室 重慶統一企業有限公司                 中國重慶市璧山工業園區青杠組團塘坊片區 徐州統一企業有限公司                 中國江蘇省徐州市經濟技術開發區北三環路                                      以南、G104國道以東 泰州統一企業有限公司                 中國江蘇省泰州市高港區科技創業園振興大道                                      301號 海南統一企業有限公司                 中國海南省澄邁縣老城經濟開發區北一環路                                      301號 陝西統一企業有限公司                 中國陝西省咸陽市禮泉縣城東環路統一大道                                      1號 張家港統清食品有限公司               中國江蘇省張家港市保稅區寶島路9號 統一(上海)保健品商貿有限公司         中國上海市長寧區臨虹路131號2樓203室 統一(上海)商貿有限公司               中國上海市長寧區臨虹路131號308室 統一生活(浙江)商貿有限公司           中國浙江省杭州市上城區岳王新村8幢29號                                      205室 統一企業(中國)投資有限公司           中國上海市虹橋臨空開發園區臨虹路131號 統一企業(昆山)食品科技有限公司       中國江蘇省昆山市青陽中路255號 統一商貿(昆山)有限公司               中國江蘇省昆山市經濟技術開發區青陽南路                                      301號 統一超商(上海)便利有限公司           中國上海市黃浦區蒙自路45-47號 統一超商(浙江)便利店有限公司         中國浙江省杭州市江干區錢江國際時代廣場                                      3幢B102-103-1室 統盛(蘇州)汽車租賃有限公司           中國江蘇省蘇州市工業園區旺墩路269號                                      星座商務廣場1幢1602室 湖南統一企業有限公司                 中國湖南省邵陽市邵陽大道中段中小企業                                      創業中心三樓 湛江統一企業有限公司                 中國廣東省湛江市遂溪縣嶺北工業基地橫                                      二路1號 貴陽統一企業有限公司                 中國貴州省貴陽市修文醫藥食品產業園區內 新疆統一企業食品有限公司             中國新疆維吾爾自治區烏魯木齊市經濟技術                                      開發區迎賓路483號 煙台統利飲料工業有限公司             中國山東省煙台市牟平區新城大街889號 寧夏統一企業有限公司                 中國寧夏回族自治區銀川市經濟技術開發區                                      西區規劃二號段129號 福州統一企業有限公司                 中國福建省福州市馬尾開發區快安延伸區                                      13號地 廣州統一企業有限公司                 中國廣東省廣州市黃埔區南崗鎮康南路788號 鄭州統一企業有限公司                 中國河南省鄭州市新鄭市台商投資區新港                                      大道東側 濟南統一企業有限公司                 中國山東省濟南市濟陽縣濟北開發區統一大街                                      301號 瀋陽統一企業有限公司                 中國遼寧省瀋陽市經濟技術開發區6號街15號 昆山統萬微生物科技有限公司           中國江蘇省昆山市經濟技術開發區青陽南路                                      301號 統萬珍極食品有限公司                 中國河北省石家庄市廣安大街34號天利商務                                      大廈6樓 9.所擔任該大陸地區事業營業項目: 上海松江統一企業有限公司             倉儲服務 上海統一企業有限公司                 方便麵、飲料及其他食品 上海統一企業飲料食品有限公司         方便麵、飲料及其他食品 上海統一寶麗時代實業有限公司         租賃 山西統一企業有限公司                 方便麵、飲料及其他食品 山東統一銀座商業有限公司             超級市場業 中山統一企業有限公司                 飼料 內蒙古統一企業有限公司               方便麵、飲料及其他食品 天津統一企業有限公司                 方便麵、飲料及其他食品 天津統一企業食品有限公司             麵粉,麩皮 巴馬統一礦泉水有限公司               礦泉水 北京統一飲品有限公司                 方便麵、飲料及其他食品 白銀統一企業有限公司                 方便麵、飲料及其他食品 石家莊統一企業有限公司               方便麵、飲料及其他食品 合肥統一企業有限公司                 方便麵、飲料及其他食品 成都統一企業食品有限公司             方便麵、飲料及其他食品 江蘇統一企業有限公司                 方便麵、飲料及其他食品 呼圖壁統一企業番茄製品科技有限公司   蕃茄製品 昆山統一企業食品有限公司             方便麵、飲料及其他食品 昆明統一企業食品有限公司             方便麵、飲料及其他食品 杭州統一企業有限公司                 方便麵、飲料及其他食品 武穴統一企業礦泉水有限公司           礦泉水 武漢統一企業食品有限公司             方便麵、飲料及其他食品 河南統一企業有限公司                 方便麵、飲料及其他食品 長白山統一企業(吉林)礦泉水有限公司   礦泉水 長沙統一企業有限公司                 方便麵、飲料及其他食品 長春統一企業有限公司                 方便麵、飲料及其他食品 阿克蘇統一企業有限公司               方便麵、飲料及其他食品 青島統一飼料農牧有限公司             水產、畜產、寵物飼料 南昌統一企業有限公司                 方便麵、飲料及其他食品 南寧統一企業有限公司                 方便麵、飲料及其他食品 哈爾濱統一企業有限公司               方便麵、飲料及其他食品 皇茗企業管理諮詢(上海)有限公司       諮詢服務 重慶統一企業有限公司                 方便麵、飲料及其他食品 徐州統一企業有限公司                 方便麵、飲料及其他食品 泰州統一企業有限公司                 方便麵、飲料及其他食品 海南統一企業有限公司                 方便麵、飲料及其他食品 陝西統一企業有限公司                 方便麵、飲料及其他食品 張家港統清食品有限公司               油脂、油粕、飼料、麵粉 統一(上海)保健品商貿有限公司         各種保健品、藥妝日用品之買賣 統一(上海)商貿有限公司               批發及零售 統一生活(浙江)商貿有限公司           藥妝百貨零售 統一企業(中國)投資有限公司           專業投資 統一企業(昆山)食品科技有限公司       研發 統一商貿(昆山)有限公司               批發及零售 統一超商(上海)便利有限公司           便利商店業 統一超商(浙江)便利店有限公司         便利商店業 統盛(蘇州)汽車租賃有限公司           汽車租賃 湖南統一企業有限公司                 方便麵、飲料及其他食品 湛江統一企業有限公司                 方便麵、飲料及其他食品 貴陽統一企業有限公司                 方便麵、飲料及其他食品 新疆統一企業食品有限公司             蕃茄製品、飲料、方便麵產銷 煙台統利飲料工業有限公司             飲料 寧夏統一企業有限公司                 方便麵、飲料及其他食品 福州統一企業有限公司                 方便麵、飲料及其他食品 廣州統一企業有限公司                 方便麵、飲料及其他食品 鄭州統一企業有限公司                 方便麵、飲料及其他食品 濟南統一企業有限公司                 方便麵、飲料及其他食品 瀋陽統一企業有限公司                 方便麵、飲料及其他食品 昆山統萬微生物科技有限公司           醬油 統萬珍極食品有限公司                 醬油及調味品 10.對本公司財務業務之影響程度:無重大影響 11.董事如有對該大陸地區事業從事投資者，其投資金額及持股比例:不適用 12.其他應敘明事項:無",2912
4,5,110/07/16,18:29:39,徐光宇,專案協理,(02)27478711-2790,公告本公司審計委員會與薪資報酬委員會委員異動,第 6款,110/07/16,1.發生變動日期:110/07/16 2.功能性委員會名稱:審計委員會與薪資報酬委員會 3.舊任者姓名及簡歷:  (1)審計委員會：許培基(私立輔仁大學管理學院院長)、  王文宇(國立臺灣大學法律學院專任教授)、洪永城(私立東吳大學商學院資管系教授)  (2)薪資報酬委員會：許培基(私立輔仁大學管理學院院長)、  王文宇(國立臺灣大學法律學院專任教授)、洪永城(私立東吳大學商學院資管系教授) 4.新任者姓名及簡歷:  (1)審計委員會：許克偉(尼得科超眾科技股份有限公司獨立董事)、  陳亮(富鼎國際實業股份有限公司董事長)、洪永城(私立東吳大學商學院資管系教授)  (2)薪資報酬委員會：另行召開董事會決議委員會成員 5.異動情形（請輸入「辭職」、「解任」、「任期屆滿」、「逝世」或「新任」）: 任期屆滿 6.異動原因:任期屆滿 7.原任期（例xx/xx/xx ~ xx/xx/xx）:  (1)審計委員會：107/06/12~110/06/11  (2)薪資報酬委員會：107/06/20~110/06/11 8.新任生效日期:  審計委員會：110/07/16~113/07/15 9.其他應敘明事項:無,2912
